Title,Price,Room_type,num_of_beds,Cancel_policy,Reviewrs,Review_stars
Beautiful Bedroom in Manhattan,"Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,570,Rating 4.5 out of 5
SPACIOUS SUNNY STUDIO 5MIN TIMES SQ,"Price
$131 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,157,Rating 4.5 out of 5
1 Bedroom apartment,"Price
$159 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,72,Rating 5 out of 5
Spacious Room in East Village/NoHo,"Price
$100 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,355,Rating 5 out of 5
Elegant Private Apartment in a Historic Brownstone,"Price
$72 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,86,Rating 5 out of 5
*Sweet Loft**Empire State Building*,"Price
$118 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,136,Rating 4.5 out of 5
"[2] New BedRm by C.Park and 1,B,C","Price
$62 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,213,Rating 4.5 out of 5
Tasteful Room in Charming Two Bedroom Apartment,"Price
$117 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,205,Rating 5 out of 5
Bright Cozy Chinatown Studio Apt.,"Price
$199 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,260,Rating 5 out of 5
Room w/ view of Manhattan,"Price
$54 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,220,Rating 5 out of 5
Modern Beautiful Bedford Stuyvesant Brownstone,"Price
$113 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,121,Rating 5 out of 5
Safe cute near subway& Manhattan NY NY retro style,"Price
$78 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,416,Rating 4.5 out of 5
Vintage Loft Style Studio - Greenwich/Union Square,"Price
$192 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,111,Rating 5 out of 5
Bright Private Room in Brooklyn,"Price
$58 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,70,Rating 5 out of 5
Gorgeous Parlor Floor Suite near Subway,"Price
$153 CAD per night",ENTIRE TOWNHOUSE , 1 BED, · Free cancellation,195,Rating 5 out of 5
East Village Gay Friendly Dbl Room,"Price
$85 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,371,Rating 4.5 out of 5
ARTIST LOFT+OFFICE in PRIME WILLIAMSBURG!,"Price
$66 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,256,Rating 4.5 out of 5
Fun Spacious Midtown Apt near U.N. & Central Park,"Price
$146 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,117,Rating 5 out of 5
Cozy Moroccan 1BR APT in the heart of Astoria,"Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,112,Rating 5 out of 5
W. 80's Central Park 3 Blocks Walk,"Price
$77 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,284,Rating 4.5 out of 5
Cozy 1-Bedroom Flat near Manhattan,"Price
$86 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,305,Rating 5 out of 5
The Artist's Experience,"Price
$126 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,277,Rating 5 out of 5
Beautiful private 1BR apt in Harlem,"Price
$146 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,252,Rating 5 out of 5
Spacious Lower East Side Studio Apt,"Price
$199 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,55,Rating 4.5 out of 5
Sunny & Modern + Roof Deck & Gym!,"Price
$186 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,130,Rating 5 out of 5
A Romantic Loft plus terrace Heart of Brooklyn,"Price
$153 CAD per night",ENTIRE LOFT , 1 BED, · Free cancellation,216,Rating 5 out of 5
"Cute, comfortable room in Gramercy","Price
$86 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,149,Rating 5 out of 5
Large Loft Style Studio Space,"Price
$80 CAD per night",ENTIRE LOFT , 1 BED, · Free cancellation,85,Rating 4.5 out of 5
West Side Charm - Central Park!,"Price
$206 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,211,Rating 4.5 out of 5
"Bright, Modern Room in East Village!","Price
$40 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,145,Rating 5 out of 5
Clean Room for Rent 10 min From NYC,"Price
$64 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,212,Rating 4.5 out of 5
Modernly Designed studIo in turtle bay area~402~,"Price
$166 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,88,Rating 4.5 out of 5
Modern Condo in Midtown,"Price
$131 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,293,Rating 5 out of 5
BR/Private Bath 10Mins to TIME SQ,"Price
$118 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,154,Rating 4.5 out of 5
"Affordable, Private, Simple & Clean NYC Flat!","Price
$106 CAD per night",ENTIRE APARTMENT , 4 BEDS, · Free cancellation,326,Rating 4.5 out of 5
Charming apartment + private patio in Times Square,"Price
$80 CAD per night",ENTIRE APARTMENT , 0 BEDS, · Free cancellation,112,Rating 5 out of 5
"Fresh, Simple Sleep in Brooklyn!","Price
$58 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,221,Rating 5 out of 5
Minimalistic 1 bedroom in the heart of Manhattan,"Price
$139 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,121,Rating 4.5 out of 5
Cozy Well-Furnished Home in the Heart of Harlem,"Price
$73 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,117,Rating 5 out of 5
Beautiful Cozy Room Great Price!,"Price
$65 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,269,Rating 4.5 out of 5
"Priv Apt,Garden,BBQ,A/C,BigTV,for 4","Price
$153 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,406,Rating 4.5 out of 5
Bright Cozy 2BR 15 Mins Time Square upto 6 Guests,"Price
$38 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,193,Rating 4.5 out of 5
Spacious room w/Private Roof Deck in Shared Apt,"Price
$81 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,104,Rating 5 out of 5
"16% off; spacious, modern 2br; 25 min to Manhattan","Price
$119 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,110,Rating 5 out of 5
Beloved Brooklyn style apartment,"Price
$106 CAD per night",ENTIRE APARTMENT , 6 BEDS, · Free cancellation,133,Rating 5 out of 5
"PRIVATE Room in Spacious, Quiet Apt","Price
$56 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,415,Rating 4.5 out of 5
"[3] New BedRm by C.Park and 1,B,C","Price
$62 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,236,Rating 4.5 out of 5
Charming Manhattan-Midtown Studio,"Price
$171 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,134,Rating 4.5 out of 5
Modern Stay in Brownstone Brooklyn,"Price
$126 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,261,Rating 5 out of 5
The heart of the metropolis,"Price
$60 CAD per night",ENTIRE PLACE , 1 BED, · Free cancellation,97,Rating 4.5 out of 5
Amazing Downtown With Rooftop,"Price
$142 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,199,Rating 4.5 out of 5
Couples and Family Paradise.,"Price
$93 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,208,Rating 5 out of 5
Bed & Bagel~a charming 3 bedroom loft,"Price
$133 CAD per night",ENTIRE APARTMENT , 3 BEDS, · Free cancellation,215,Rating 5 out of 5
CENTRAL PARK LOFT all for YOU,"Price
$115 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,224,Rating 4 out of 5
Amazing Sunny Apartment in the Lower East Side,"Price
$168 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,53,Rating 4.5 out of 5
Cozy Apartment Near Times Square,"Price
$113 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,211,Rating 4.5 out of 5
PRIVATE ROOM IN NEW YORK MANHATTAN,"Price
$52 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,193,Rating 4.5 out of 5
Uptown Chic in Hoboken,"Price
$159 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,127,Rating 5 out of 5
NYC artists’ loft with roof deck,"Price
$52 CAD per night",PRIVATE ROOM , 1 BED, · Free cancellation,180,Rating 5 out of 5
Magic Manhattan with Rooftop,"Price
$16 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,196,Rating 4.5 out of 5
A Superhost SALE! DELUXE Room!,"Price
$65 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,318,Rating 4.5 out of 5
Full Apartment on Central Park in Vibrant Harlem,"Price
$96 CAD per night",ENTIRE APARTMENT , 1 BED, · Free cancellation,68,Rating 4.5 out of 5
"Great location, cozy, near F, G, R!","Price
$151 CAD per night",ENTIRE TOWNHOUSE , 3 BEDS, · Free cancellation,287,Rating 5 out of 5
Spacious 1 BDRM near Central Park,"Price
$158 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,162,Rating 4.5 out of 5
Studio in East village/own bath!,"Price
$129 CAD per night",ENTIRE APARTMENT , 2 BEDS, · Free cancellation,260,Rating 4 out of 5
Pop House 4min walk to L train 12mins to Manhattan,"Price
$37 CAD per night",PRIVATE ROOM , 2 BEDS, · Free cancellation,56,Rating 5 out of 5
